customer_id,name,x,y,deadline_hours
C136,L0773,-6.197598,106.841946,6
C137,L0817,-6.162175,106.818982,8
C138,L0408,-6.309162,107.153,8
C139,L0157,-6.17603,106.686343,8
C140,L1300,-6.572649,106.747139,6
C141,L0499,-6.181371,106.850228,6
C142,L0210,-6.242069,106.825797,6
C143,L0619,-6.179874,106.860377,6
C144,L1245,-6.310164,106.740721,6
C145,L0249,-6.226162,106.747494,6
C146,L1171,-6.178377,106.844857,6
C147,L0085,-6.264886,106.986554,8
C148,L0714,-6.314599,106.825544,8
C149,L1101,-6.194878,106.89472,8
C150,L0763,-6.207542,106.791026,6
C151,L0142,-6.094748,106.676908,6
C152,L1044,-6.186043,106.8063,6
C153,L1343,-6.260146,106.746471,6
C154,L0701,-6.260516,106.749355,6
C155,L0026,-6.24199,106.656632,6
C156,L1011,-6.253922,106.790527,6
C157,L0218,-6.260138,106.798409,8
C158,L0893,-6.261662,106.877821,8
C159,L0744,-6.259158,107.028089,8
C160,L1317,-6.181253,106.851635,6
C161,L0948,-6.395983,106.772388,6
C162,L0315,-6.206262,106.758588,6
C163,L0897,-6.248361,106.989885,6
C164,L1077,-6.216229,106.829903,6
C165,L1349,-6.148283,106.76181,6
C166,L0555,-6.163204,106.811355,6
C167,L1277,-6.15264,106.764085,8
C168,L0998,-6.272359,106.741619,8
C169,L1227,-6.15257,106.764195,8
C170,L0551,-6.129774,106.799767,6
C171,L0663,-6.290126,106.758811,6
C172,L0504,-6.168068,106.857705,6
C173,L0179,-6.235513,106.780565,6
C174,L0573,-6.100763,106.931202,6
C175,L0929,-6.152552,106.764133,6
C176,L0501,-6.298121,107.014872,6
C177,L1179,-6.150554,106.735206,8
C178,L1265,-6.152644,106.764092,8
C179,L0059,-6.189787,106.689109,8
C180,L1020,-6.372966,106.835454,6
C181,L0668,-6.288391,106.746105,6
C182,L1006,-6.187463,106.732652,6
C183,L0436,-6.270765,106.972077,6
C184,L0729,-6.158081,106.883754,6
C185,L0531,-6.156702,106.864501,6
C186,L0700,-6.245455,106.77649,6
C187,L0574,-6.172935,106.86328,8
C188,L1234,-6.222312,106.867967,8
C189,L0567,-6.186974,106.851097,8
C190,L1150,-6.152725,106.765701,6
C191,L0021,-6.263148,106.718619,6
C192,L1066,-6.168139,106.751345,6
